image,preprocess_ms,inference_ms,postprocess_ms,total_ms,gpu_mem_mb
img_0040.jpg,2.980,5.592,0.045,8.618,12
img_0041.jpg,3.127,6.195,0.054,9.376,12
img_0042.jpg,3.228,5.829,0.047,9.103,12
img_0043.jpg,2.834,5.444,0.046,8.324,12
img_0044.jpg,2.766,5.067,0.038,7.871,12
img_0045.jpg,2.771,5.149,0.038,7.958,12
img_0046.jpg,2.827,5.398,0.047,8.271,12
img_0047.jpg,2.910,5.510,0.047,8.467,12
img_0048.jpg,3.037,5.495,0.045,8.578,12
img_0049.jpg,2.951,5.668,0.043,8.662,12
img_0050.jpg,2.868,5.584,0.045,8.496,12
img_0051.jpg,2.884,5.757,0.047,8.688,12
img_0052.jpg,2.860,5.238,0.052,8.149,12
img_0053.jpg,2.824,5.135,0.036,7.995,12
img_0054.jpg,2.768,4.814,0.034,7.615,12
img_0055.jpg,2.853,5.085,0.037,7.975,12
img_0056.jpg,2.746,5.040,0.037,7.824,12
img_0057.jpg,2.809,5.361,0.040,8.210,12
img_0058.jpg,2.893,5.057,0.057,8.007,12
img_0059.jpg,2.832,5.246,0.039,8.116,12
img_0060.jpg,2.894,5.154,0.038,8.086,12
img_0061.jpg,2.806,5.195,0.038,8.040,12
img_0062.jpg,2.844,5.424,0.045,8.312,12
img_0063.jpg,2.818,5.479,0.037,8.334,12
img_0064.jpg,2.831,5.019,0.041,7.891,12
img_0065.jpg,2.931,5.380,0.040,8.351,12
img_0066.jpg,3.033,5.285,0.046,8.365,12
img_0067.jpg,2.925,5.944,0.049,8.917,12
img_0068.jpg,2.862,4.962,0.039,7.863,12
img_0069.jpg,2.749,5.083,0.039,7.871,12
img_0070.jpg,2.715,4.764,0.035,7.514,12
img_0071.jpg,2.744,4.956,0.034,7.733,12
img_0072.jpg,3.133,5.316,0.043,8.492,12
img_0073.jpg,2.761,4.958,0.036,7.755,12
img_0074.jpg,2.694,4.646,0.029,7.369,12
img_0075.jpg,2.694,4.742,0.029,7.465,12
img_0076.jpg,2.670,4.494,0.026,7.189,12
img_0077.jpg,2.700,4.708,0.026,7.434,12
img_0078.jpg,2.679,4.460,0.025,7.165,12
